product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Pro Widget 1,Descripción detallada del producto 1,4,2,1,227.6,141.11,22.5,true,2022-12-05,2024-03-09
2,SKU-000002,Max Artículo 2,Descripción detallada del producto 2,6,6,7,187.06,102.88,29.8,true,2023-11-05,2024-08-13
3,SKU-000003,Premium Pack 3,Descripción detallada del producto 3,7,5,3,16.25,7.31,24.4,true,2023-05-15,2025-02-10
4,SKU-000004,Super Dispositivo 4,Descripción detallada del producto 4,6,5,2,53.84,36.07,45.2,true,2022-07-14,2024-06-12
5,SKU-000005,Pro Equipo 5,Descripción detallada del producto 5,2,11,5,273.9,153.38,4.1,true,2022-12-28,2025-10-31
6,SKU-000006,Básico Dispositivo 6,Descripción detallada del producto 6,1,1,8,362.16,144.86,45,true,2022-05-28,2025-05-06
7,SKU-000007,Pro Gadget 7,Descripción detallada del producto 7,6,10,3,142.02,62.49,24.1,false,2022-10-02,2025-12-04
8,SKU-000008,Ultra Producto 8,Descripción detallada del producto 8,7,13,2,82.76,50.48,45.8,true,2022-04-19,2024-10-15
9,SKU-000009,Pro Herramienta 9,Descripción detallada del producto 9,8,10,1,294.38,117.75,0.3,true,2022-04-08,2025-10-22
10,SKU-000010,Mega Artículo 10,Descripción detallada del producto 10,5,3,8,16.08,6.43,6.3,true,2023-01-24,2025-09-14
11,SKU-000011,Premium Widget 11,Descripción detallada del producto 11,8,9,2,177.33,106.4,42,true,2022-03-16,2024-07-20
12,SKU-000012,Premium Equipo 12,Descripción detallada del producto 12,6,11,5,405.66,227.17,11.6,false,2023-05-14,2025-03-29
13,SKU-000013,Premium Equipo 13,Descripción detallada del producto 13,2,7,7,87.64,58.72,47.6,true,2023-05-05,2024-07-29
14,SKU-000014,Elite Producto 14,Descripción detallada del producto 14,8,5,3,497.78,293.69,19.3,true,2022-12-18,2025-11-02
15,SKU-000015,Mega Set 15,Descripción detallada del producto 15,1,1,7,440.33,198.15,11.3,true,2023-12-08,2024-11-05
16,SKU-000016,Mini Producto 16,Descripción detallada del producto 16,9,2,8,208.95,135.82,46.2,false,2022-08-25,2024-08-01
17,SKU-000017,Básico Kit 17,Descripción detallada del producto 17,10,15,7,119.6,56.21,24.9,true,2023-12-06,2026-01-04
18,SKU-000018,Ultra Equipo 18,Descripción detallada del producto 18,8,10,5,51.98,33.27,44.3,true,2022-01-10,2025-03-19
19,SKU-000019,Básico Pack 19,Descripción detallada del producto 19,3,1,7,167.25,85.3,32.7,true,2022-01-02,2025-01-21
20,SKU-000020,Mini Gadget 20,Descripción detallada del producto 20,10,10,6,191.71,109.27,34.9,true,2023-04-22,2025-07-26
21,SKU-000021,Mega Herramienta 21,Descripción detallada del producto 21,7,4,1,191.94,76.78,22.6,true,2022-01-24,2025-10-20
22,SKU-000022,Super Artículo 22,Descripción detallada del producto 22,8,6,6,116.75,56.04,11.8,true,2022-05-27,2024-07-02
23,SKU-000023,Mega Kit 23,Descripción detallada del producto 23,5,8,4,79.85,50.31,37.9,true,2022-07-31,2024-06-30
24,SKU-000024,Premium Kit 24,Descripción detallada del producto 24,1,15,3,266.02,148.97,2.8,true,2022-11-03,2025-09-30
25,SKU-000025,Mini Herramienta 25,Descripción detallada del producto 25,7,12,3,11.43,7.09,17.3,true,2022-01-07,2024-09-06
26,SKU-000026,Elite Gadget 26,Descripción detallada del producto 26,8,6,4,371.37,163.4,14.6,true,2022-03-17,2025-09-03
27,SKU-000027,Ultra Herramienta 27,Descripción detallada del producto 27,8,7,5,136.66,87.46,44.8,true,2022-11-01,2024-12-23
28,SKU-000028,Básico Pack 28,Descripción detallada del producto 28,8,6,1,36.29,19.23,39.7,true,2022-01-18,2024-02-23
29,SKU-000029,Básico Kit 29,Descripción detallada del producto 29,5,15,2,5.73,2.87,25,true,2022-07-22,2024-05-07
30,SKU-000030,Smart Equipo 30,Descripción detallada del producto 30,10,8,7,174.46,109.91,19.1,true,2022-04-30,2025-04-01
31,SKU-000031,Elite Dispositivo 31,Descripción detallada del producto 31,2,5,4,302.6,127.09,3.3,true,2022-11-27,2024-10-21
32,SKU-000032,Básico Artículo 32,Descripción detallada del producto 32,9,13,7,266.32,154.47,38.1,true,2023-12-13,2025-01-20
33,SKU-000033,Pro Widget 33,Descripción detallada del producto 33,8,14,3,77.58,51.2,0.9,true,2023-10-22,2025-01-25
34,SKU-000034,Elite Equipo 34,Descripción detallada del producto 34,4,12,6,352.16,211.3,5.3,true,2022-01-13,2025-05-10
35,SKU-000035,Ultra Artículo 35,Descripción detallada del producto 35,2,1,8,73.69,44.21,45,true,2023-12-24,2024-08-05
36,SKU-000036,Elite Equipo 36,Descripción detallada del producto 36,1,12,3,379.04,216.05,17.5,true,2022-05-14,2025-10-15
37,SKU-000037,Básico Producto 37,Descripción detallada del producto 37,2,14,5,332.56,212.84,48.6,true,2023-11-11,2025-05-10
38,SKU-000038,Mega Pack 38,Descripción detallada del producto 38,7,1,7,226.45,156.25,39.9,true,2023-10-13,2024-12-14
39,SKU-000039,Mini Widget 39,Descripción detallada del producto 39,4,4,5,435.8,196.11,34.5,true,2022-01-15,2024-09-29
40,SKU-000040,Premium Herramienta 40,Descripción detallada del producto 40,10,7,7,168.04,100.82,36.8,true,2023-04-09,2024-10-20
41,SKU-000041,Pro Set 41,Descripción detallada del producto 41,8,9,3,272.17,111.59,15.5,true,2023-07-15,2025-01-21
42,SKU-000042,Premium Equipo 42,Descripción detallada del producto 42,8,8,2,421.18,252.71,48.1,true,2022-03-14,2024-05-12
43,SKU-000043,Ultra Producto 43,Descripción detallada del producto 43,9,7,7,290.86,203.6,48.4,false,2023-09-08,2025-04-01
44,SKU-000044,Mini Artículo 44,Descripción detallada del producto 44,3,13,7,111.72,78.2,16.5,true,2023-04-05,2025-06-11
45,SKU-000045,Premium Kit 45,Descripción detallada del producto 45,3,14,4,36.73,22.04,14.1,true,2023-05-10,2025-12-27
46,SKU-000046,Max Equipo 46,Descripción detallada del producto 46,2,3,6,68.91,31.01,45.7,true,2022-03-06,2024-02-04
47,SKU-000047,Super Widget 47,Descripción detallada del producto 47,3,11,3,350.02,164.51,6.5,true,2022-06-16,2025-08-07
48,SKU-000048,Básico Gadget 48,Descripción detallada del producto 48,4,12,4,238.21,102.43,43.8,true,2023-07-31,2024-07-15
49,SKU-000049,Super Gadget 49,Descripción detallada del producto 49,1,2,7,143.59,89.03,3,true,2023-05-21,2024-03-08
50,SKU-000050,Max Widget 50,Descripción detallada del producto 50,5,8,6,79.59,42.98,0.1,true,2022-12-30,2025-09-23
51,SKU-000051,Ultra Gadget 51,Descripción detallada del producto 51,9,1,1,424.62,203.82,3.7,true,2022-01-27,2025-07-07
52,SKU-000052,Super Pack 52,Descripción detallada del producto 52,7,4,1,304.17,209.88,16.7,true,2022-04-17,2024-11-25
53,SKU-000053,Elite Gadget 53,Descripción detallada del producto 53,1,7,7,318.16,190.9,28.4,true,2023-02-06,2025-01-24
54,SKU-000054,Mega Artículo 54,Descripción detallada del producto 54,9,2,2,218.8,135.66,45.7,true,2023-03-31,2024-06-21
55,SKU-000055,Mega Set 55,Descripción detallada del producto 55,5,2,3,390.99,234.59,34.6,true,2023-10-05,2024-12-30
56,SKU-000056,Ultra Gadget 56,Descripción detallada del producto 56,5,2,2,38.34,16.1,15.9,true,2022-03-08,2024-06-06
57,SKU-000057,Pro Kit 57,Descripción detallada del producto 57,3,8,6,74.55,35.04,27.1,true,2023-01-05,2024-10-15
58,SKU-000058,Ultra Artículo 58,Descripción detallada del producto 58,6,10,3,363.89,145.56,34.1,true,2022-10-25,2025-02-02
59,SKU-000059,Max Herramienta 59,Descripción detallada del producto 59,1,13,8,78.69,40.92,6.8,true,2023-10-03,2024-08-25
60,SKU-000060,Premium Kit 60,Descripción detallada del producto 60,6,14,1,300.86,132.38,22,true,2022-12-13,2024-10-09
61,SKU-000061,Ultra Pack 61,Descripción detallada del producto 61,6,6,8,185.84,89.2,46.4,true,2022-12-21,2025-12-08
62,SKU-000062,Mini Pack 62,Descripción detallada del producto 62,7,6,2,245.87,169.65,38.9,true,2022-06-30,2024-09-07
63,SKU-000063,Max Equipo 63,Descripción detallada del producto 63,10,15,1,273.5,131.28,4.3,true,2022-12-12,2024-09-23
64,SKU-000064,Smart Herramienta 64,Descripción detallada del producto 64,8,4,8,180.92,85.03,36.2,true,2023-12-30,2024-10-29
65,SKU-000065,Pro Equipo 65,Descripción detallada del producto 65,5,6,6,254.9,150.39,4.2,true,2023-11-25,2024-04-30
66,SKU-000066,Ultra Herramienta 66,Descripción detallada del producto 66,7,2,6,29.33,13.49,45.7,true,2022-05-11,2024-03-05
67,SKU-000067,Smart Dispositivo 67,Descripción detallada del producto 67,7,7,6,465.95,242.29,4.3,true,2022-04-20,2025-01-11
68,SKU-000068,Elite Gadget 68,Descripción detallada del producto 68,9,2,8,63.37,25.98,10.7,true,2022-01-27,2025-01-31
69,SKU-000069,Mini Artículo 69,Descripción detallada del producto 69,9,15,5,134.97,75.58,41.5,false,2022-08-25,2024-07-17
70,SKU-000070,Max Pack 70,Descripción detallada del producto 70,7,12,8,453.74,226.87,15.9,true,2023-03-23,2024-04-09
71,SKU-000071,Ultra Kit 71,Descripción detallada del producto 71,5,10,7,132.68,57.05,24.4,true,2022-05-21,2024-02-24
72,SKU-000072,Pro Dispositivo 72,Descripción detallada del producto 72,2,11,3,248.62,129.28,11.9,true,2023-07-14,2024-10-11
73,SKU-000073,Mini Widget 73,Descripción detallada del producto 73,1,6,7,130.25,74.24,14.9,false,2023-10-12,2024-03-08
74,SKU-000074,Premium Gadget 74,Descripción detallada del producto 74,3,7,3,103.68,48.73,39.6,true,2023-11-23,2025-11-03
75,SKU-000075,Smart Widget 75,Descripción detallada del producto 75,10,11,3,161.12,78.95,32,true,2023-09-21,2025-03-19
76,SKU-000076,Básico Set 76,Descripción detallada del producto 76,2,9,4,169.43,88.1,34,true,2023-02-04,2024-12-29
77,SKU-000077,Smart Dispositivo 77,Descripción detallada del producto 77,6,1,8,127.74,80.48,48.5,true,2022-08-02,2024-07-16
78,SKU-000078,Básico Gadget 78,Descripción detallada del producto 78,10,6,6,358.92,150.75,18.8,true,2023-12-17,2024-08-16
79,SKU-000079,Pro Pack 79,Descripción detallada del producto 79,9,13,4,387.61,189.93,6.9,true,2023-04-08,2024-12-19
80,SKU-000080,Max Kit 80,Descripción detallada del producto 80,6,11,2,392.88,168.94,26.5,true,2023-11-28,2025-10-04
81,SKU-000081,Smart Widget 81,Descripción detallada del producto 81,2,4,4,78.93,43.41,17.6,false,2023-04-10,2024-03-15
82,SKU-000082,Max Widget 82,Descripción detallada del producto 82,4,14,5,306.53,137.94,46.1,true,2023-05-01,2026-01-02
83,SKU-000083,Mini Widget 83,Descripción detallada del producto 83,2,7,8,20.8,12.69,13.4,true,2023-05-24,2025-01-21
84,SKU-000084,Elite Producto 84,Descripción detallada del producto 84,2,2,2,284.16,147.76,26.9,true,2023-05-15,2024-04-04
85,SKU-000085,Mini Dispositivo 85,Descripción detallada del producto 85,6,15,2,54.89,33.48,27.2,true,2022-06-22,2025-06-09
86,SKU-000086,Básico Artículo 86,Descripción detallada del producto 86,10,14,5,375.68,225.41,18.5,true,2023-09-14,2025-07-07
87,SKU-000087,Mini Dispositivo 87,Descripción detallada del producto 87,1,14,1,442.56,292.09,50,true,2023-04-17,2024-01-28
88,SKU-000088,Premium Artículo 88,Descripción detallada del producto 88,3,12,4,263.94,153.09,30.2,true,2022-05-11,2024-09-15
89,SKU-000089,Smart Kit 89,Descripción detallada del producto 89,5,5,4,164.53,97.07,36.1,true,2023-07-26,2025-10-18
90,SKU-000090,Elite Equipo 90,Descripción detallada del producto 90,10,13,2,90.42,50.64,38.3,true,2022-06-22,2025-06-08
91,SKU-000091,Básico Pack 91,Descripción detallada del producto 91,6,14,4,256.59,159.09,46.3,false,2023-03-03,2024-05-11
92,SKU-000092,Premium Pack 92,Descripción detallada del producto 92,8,7,5,60.45,31.43,28.3,true,2022-11-08,2024-08-22
93,SKU-000093,Smart Set 93,Descripción detallada del producto 93,4,6,7,289.58,147.69,44.7,true,2023-01-05,2024-01-04
94,SKU-000094,Premium Dispositivo 94,Descripción detallada del producto 94,5,15,2,56.69,36.85,9,true,2023-04-10,2024-03-21
95,SKU-000095,Max Artículo 95,Descripción detallada del producto 95,10,3,7,420.68,176.69,46.2,true,2022-01-05,2025-07-13
96,SKU-000096,Mini Dispositivo 96,Descripción detallada del producto 96,6,11,2,48.19,24.1,9.1,true,2023-05-03,2025-03-17
97,SKU-000097,Smart Herramienta 97,Descripción detallada del producto 97,3,7,2,209.48,106.83,27,true,2022-03-27,2024-03-24
98,SKU-000098,Mini Artículo 98,Descripción detallada del producto 98,9,6,7,307.01,171.93,16.8,true,2023-07-05,2025-04-17
99,SKU-000099,Ultra Kit 99,Descripción detallada del producto 99,10,7,2,67.45,35.75,1.4,true,2023-06-19,2024-03-07
100,SKU-000100,Mega Herramienta 100,Descripción detallada del producto 100,6,5,2,490.16,240.18,10.6,true,2022-06-09,2026-01-13